MSKU,Product Name,Product Description,Category,Product/Warranty Type,Product/Sales Price,Quantity On Hand,Image Status,Source URL,Notes
7405,"15.6"" Backpack Laptop Bag #120 - LTS Freebie","A 15.6-inch laptop backpack designed to carry and protect compatible laptops and accessories. It is provided as a promotional freebie and is suitable for school, office, and everyday travel.",VALUE PLUS,NO WTY.,0,3,NOT_FOUND,,no confident EasyPC match
10686,AMD BackPack,"An AMD-branded backpack designed for carrying laptops, accessories, and personal belongings. It serves as a practical lifestyle and promotional item for technology users.",VALUE PLUS,,0,1,NOT_FOUND,,no confident EasyPC match
4155,AMD Stock Heatsink Fan V2,An AMD stock heatsink and fan designed to cool compatible AMD processors. It provides a practical processor cooling solution for supported desktop systems.,VALUE PLUS,NO WTY.,0,6,NOT_FOUND,,no confident EasyPC match
10791,Antec Mousepad,"A computer mousepad designed to provide a consistent surface for smooth and controlled mouse movement. It is suitable for everyday computing, office work, and gaming setups.",VALUE PLUS,NO WTY.,0,4,NOT_FOUND,,no confident EasyPC match
10012,AS BUNDLE BACKPACK AP4600 - LTS Freebie,A bundled backpack designed to carry compatible laptops and computer accessories. It is provided as a promotional freebie with qualifying products or purchases.,VALUE PLUS,NO WTY.,0,3,NOT_FOUND,,no confident EasyPC match
10013,AS BUNDLE VP4700 TUF BACKPACK 15/17 IN - LTS Freebie,"A TUF-branded backpack designed to accommodate compatible 15- to 17-inch laptops and accessories. It provides a convenient carrying solution for students, gamers, and mobile users.",VALUE PLUS,NO WTY.,0,8,NOT_FOUND,,no confident EasyPC match
10159,Bezel Tumbler,A reusable tumbler designed for convenient everyday beverage storage and transportation. It can also serve as a practical promotional or lifestyle accessory.,VALUE PLUS,NO WTY.,0,4,NOT_FOUND,,no confident EasyPC match
3550,Cooler Master Sickleflow 120 Red Chassis Fan Freebie,A 120mm Cooler Master SickleFlow chassis fan designed to improve airflow inside a desktop PC. The red design adds a visual accent and the item is provided as a promotional freebie.,VALUE PLUS,,0,1,NOT_FOUND,,Matched SickleFlow ARGB 3IN1 pack; CSV is Sickleflow 120 Red freebie
10665,DarkFlash Transparent Straw Cup,A transparent reusable cup with a straw designed for convenient everyday beverage use. Its simple design makes it suitable as a promotional or lifestyle accessory.,VALUE PLUS,NO WTY.,0,2,NOT_FOUND,,no confident EasyPC match
4816,Gigabyte Aorus Cap,A Gigabyte Aorus-branded cap designed as a lifestyle accessory for PC and gaming enthusiasts. It provides a casual way to represent the Aorus gaming brand.,VALUE PLUS,,0,1,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/products/2515-a.jpg?v=1588508688,title=Gigabyte Aorus 280mm AIO CPU Liquid Cooler RGB; weak match ratio=0.67 hits=2/3
6710,"Intel LGA 1700 Mounting Kit for BK007, BK021, BK022, BK024, BK031",An Intel LGA 1700 mounting kit designed for compatible CPU coolers including the listed BK-series models. It provides the necessary mounting hardware for installing supported coolers on compatible Intel processors.,VALUE PLUS,,0,20,NOT_FOUND,,no confident EasyPC match
6578,MSI Mouse _M88  - LTS Freebie,An MSI-branded computer mouse designed for convenient cursor control during everyday computing. It is offered as a promotional freebie and is suitable for compatible desktops and laptops.,VALUE PLUS,NO WTY.,0,6,NOT_FOUND,,no confident EasyPC match
5653,MSI Mouse Pad_TG - LTS Freebie,An MSI-branded mousepad designed to provide a consistent surface for smooth mouse movement. It is provided as a promotional freebie and complements desktop or gaming setups.,VALUE PLUS,NO WTY.,0,4,NOT_FOUND,,no confident EasyPC match
10311,Powered by Asus - Tshirt,An ASUS-branded T-shirt designed as promotional apparel for technology and gaming enthusiasts. It provides casual everyday wear while showcasing ASUS branding.,VALUE PLUS,NO WTY.,0,17,NOT_FOUND,,no confident EasyPC match
10312,Powered by Asus - Tumbler,An ASUS-branded reusable tumbler designed for convenient everyday beverage use. It serves as a practical promotional accessory for ASUS customers and technology enthusiasts.,VALUE PLUS,NO WTY.,0,3,NOT_FOUND,,Matched Asus RT-AX55 router; CSV is Powered by Asus Tumbler
9982,Powered by MSI - Jacket,An MSI-branded jacket designed as promotional apparel for gaming and technology enthusiasts. It provides everyday wearability while showcasing MSI branding.,VALUE PLUS,,0,10,NOT_FOUND,,no confident EasyPC match
9981,Powered by MSI - Tshirt,An MSI-branded T-shirt designed as casual promotional apparel for PC and gaming enthusiasts. It provides a simple way to represent the MSI brand in everyday wear.,VALUE PLUS,,0,19,NOT_FOUND,,no confident EasyPC match
4156,Powerlogic Agile Fan Freebie,A Powerlogic Agile cooling fan offered as a promotional freebie for compatible desktop PC systems. It can be used to help improve airflow and internal temperature management when properly installed.,VALUE PLUS,,0,2,NOT_FOUND,,no confident EasyPC match
11219,Teamgroup T-Force Dark AirFlow I PCIe M.2 NVMe Heatsink,An M.2 NVMe heatsink designed to help dissipate heat from compatible PCIe M.2 SSDs. It can help manage storage temperatures and maintain more consistent performance during sustained workloads.,VALUE PLUS,NO WTY.,0,3,NOT_FOUND,,no confident EasyPC match
